id,model,dimension,score,reason,evidence
N01,deepseek-v4-flash,ling,3,"The narrative reads fluently and grammatically throughout, with clear sentence structure and smooth transitions between observables. Some phrasing is slightly repetitive but this is consistent with the required reporting style, not a fluency defect.",
N01,deepseek-v4-flash,inte,3,"Each observable's contribution direction, magnitude, and rarity are consistently reported, and cross-frame 'high'/'low' uses (position vs physics) do not conflict. The reconstruction percentile of 54 and the described adequacy align, and no observable is called both high and low within the same frame or given contradictory contribution directions.",
N01,deepseek-v4-flash,over,3,"The narrative conveys the decision, score standing, reconstruction quality, ranked observable contributions with direction and rarity, and gives light interpretive framing (e.g., 'characteristic of a heavy particle decay'). It covers (a)-(d) reasonably well and offers some interpretive shape, though the interpretive commentary is fairly minimal/formulaic per observable rather than a deeper synthesis.",
N02,deepseek-v4-flash,ling,3,The text is grammatical and reads smoothly with clear sentence structure throughout; the repeated pattern for each observable is expected and not a fluency defect. Minor stiffness from dense technical phrasing keeps it from being perfectly natural.,
N02,deepseek-v4-flash,inte,3,"The narrative consistently attributes contributions and directions without same-frame contradictions, and the opening caveat about the decomposition not fully accounting for the classification aligns with the weak recon_pct of 16 flagged later. Directional contributions (some toward qcd, some toward top) are handled correctly per the framework's rules.",
N02,deepseek-v4-flash,over,3,"The explanation covers the decision, its score standing, the weak reconstruction (honestly flagged upfront), and lists drivers in descending order of weight with direction and extremity noted, giving a reasonably interpretive account despite the mandated per-observable style.",
N03,gemini-3.5-flash-lite,ling,3,"The text is grammatical and flows clearly sentence by sentence, with only minor stiffness from the repeated templated structure (e.g., 'contributes a score of X pushing towards Y'). No ambiguity impedes understanding.",
N03,gemini-3.5-flash-lite,inte,3,"All contributions are consistently attributed to pushing toward top or qcd without self-contradiction, and the position/physics frame distinctions are used correctly throughout (e.g., 'high within qcd class' vs 'low values favour'). The reconstruction gap and worse-than-most percentile are stated plainly without clashing with other claims.",
N03,gemini-3.5-flash-lite,over,3,"The narrative gives the decision, its percentile standing, an honest flag of weak reconstruction, ranked observable contributions with direction, rarity context, and light interpretive framing for each observable, giving a fairly complete picture of the reasoning shape.",
N04,gpt-oss-120b,ling,3,"The narrative is grammatically correct, flows well between sections, and uses consistent, clear phrasing throughout despite the repeated sentence template for each observable.",
N04,gpt-oss-120b,inte,3,"All contributions, directions, and interpretive labels align consistently; the reconstruction gap is explicitly flagged rather than glossed over, and no same-frame contradictions or clashes with stated rarity/position words occur.",
N04,gpt-oss-120b,over,2,"The narrative gives the score and percentile standing, honestly flags the weak reconstruction, lists top drivers with direction and magnitude, and reports rarity/position for each — giving a fairly complete interpretive picture within its reporting style, though it stays close to observable-by-observable recitation rather than weaving a strong narrative thread.",
N05,gemini-3.5-flash,ling,3,"The text is grammatically clean, flows logically observable by observable, and each sentence is unambiguous despite the repeated structure. No awkward phrasing impedes reading.",
N05,gemini-3.5-flash,inte,3,"All position/physics frame uses are consistent within themselves, contributions are directionally labeled clearly, and the reconstruction quality claim ('worse than most, with only 17% of jets reconstructed less closely') is consistent with the stated 2.34 vs 3.77 gap. No same-frame contradictions appear.",
N05,gemini-3.5-flash,over,3,"The narrative covers the decision and its percentile standing, honestly flags the weak reconstruction, ranks contributions by weight with clear directional labels, and reports rarity for each, giving an interpretive account rather than a bare list.",
N06,deepseek-v4-flash,ling,2,"The text is grammatical and flows sentence to sentence, following a repeated but clear template. Minor awkwardness appears in phrases like 'contributes 2.3 toward the top decision top' which reads as a slight typo/redundancy, and the mass 'sits high in the qcd range' juxtaposed with rarity phrasing is dense but parseable.",contributes 2.3 toward the top decision top
N06,deepseek-v4-flash,inte,3,"All contributions, directions, and rarity/position claims are internally compatible; no same-frame contradictions appear, and the reconstruction percentile (97) is consistent with the small score gap being called a good reproduction. The mix of top-pushing and qcd-pushing contributions is expected and not a contradiction.",
N06,deepseek-v4-flash,over,2,"The narrative covers the decision, percentile standing, reconstruction quality, ordered contributions with direction and magnitude, and rarity commentary for each, giving a fairly complete interpretive account. It stays close to a data-dump style with repeated sentence structure and only light interpretive framing beyond the physics clause, keeping it just short of a fully interpretive synthesis.",
N07,gemini-3.5-flash-lite,ling,3,"The narrative is grammatical and reads smoothly throughout, with consistent sentence structure for each observable; a few dense clauses (e.g. the C2 correlation caveat) require careful reading but remain clear overall.",
N07,gemini-3.5-flash-lite,inte,3,"The text follows its own framework consistently: position and physics frames are kept distinct, rarity vocabulary aligns with the described unusualness, and the reconstruction percentage (32) is compatible with the acknowledged score gap (6.82 vs 5.85). No same-frame contradictions or clashes with stated interpretive words are found.",
N07,gemini-3.5-flash-lite,over,3,"The narrative conveys the decision, its percentile standing, an honest flag of weaker-than-average reconstruction, and a ranked list of observables with direction, magnitude, and rarity, giving a fairly complete interpretive account. It stops short of full synthesis (e.g., no explicit tie-back of why the weaker reconstruction still supports the top call), but this is minor within the reporting style.",
N08,gemini-3.5-flash-lite,ling,3,"The narrative reads smoothly with clear, grammatical sentences throughout, consistent structure per observable, and no ambiguous phrasing that impedes understanding.",
N08,gemini-3.5-flash-lite,inte,3,"Each observable's contribution direction, position statement, and rarity label are used consistently; contributions pointing toward top vs qcd are correctly framed as expected mixed pushes, and no same-frame high/low or rarity/interpretive-word clashes appear. The opening line flagging a weak decomposition is compatible with the low recon_pct reported later.",
N08,gemini-3.5-flash-lite,over,3,"The explanation reports the decision, its percentile standing, honestly flags weak reconstruction, lists observables in descending contribution order with direction and rarity, giving a fairly interpretive account. It stays within the imposed per-observable format without synthesizing sums, but this is not penalized per scope; it still gives a reasonably complete picture of the reasoning shape.",
N09,gpt-oss-120b,ling,3,"The narrative is fluent, grammatically correct, and flows well across observables with clear transitions and consistent structure. Sentences are unambiguous and easy to follow despite the repeated template.",
N09,gpt-oss-120b,inte,3,"Each observable's position, rarity, and contribution direction are stated consistently, and directional contributions align with the stated push toward top or qcd. No same-frame contradictions or clashes with stated interpretive words are present.",
N09,gpt-oss-120b,over,3,"The explanation covers the decision, percentile standing, reconstruction quality, ordered drivers with direction and rarity, and closes with an interpretive summary distinguishing positive and negative contributors, giving a coherent picture of the reasoning.",
N10,deepseek-v4-flash,ling,3,"The narrative is grammatical and reads smoothly throughout, with clear sentence structure and consistent terminology; only minor stiffness from the repeated template style, which is not penalized.",
N10,deepseek-v4-flash,inte,3,"All contributions, directions, and rarity labels align consistently with each other and with the stated frames; no same-frame contradictions or clashes between prose and interpretive words are present, and the honest note about weak reconstruction matches the low recon_pct.",
N10,deepseek-v4-flash,over,3,"The explanation reports the decision, score standing, honest adequacy assessment, ordered contributions with direction and unusualness, and closes with minor remaining observables, giving a reasonably complete interpretive account within the required style.",
