id,model,jet_id,decision,regime,words,ling,inte,over,n_below_3
N01,deepseek-v4-flash,15596,top,full,329,3,3,3,0
N02,deepseek-v4-flash,177026,qcd,caveat,232,3,3,3,0
N03,gemini-3.5-flash-lite,310745,top,caveat,447,3,3,3,0
N04,gpt-oss-120b,247941,top,caveat,358,3,3,2,1
N05,gemini-3.5-flash,255805,qcd,caveat,524,3,3,3,0
N06,deepseek-v4-flash,182312,top,full,353,2,3,2,2
N07,gemini-3.5-flash-lite,87354,top,full,690,3,3,3,0
N08,gemini-3.5-flash-lite,242440,qcd,caveat,471,3,3,3,0
N09,gpt-oss-120b,164242,top,full,390,3,3,3,0
N10,deepseek-v4-flash,230038,top,caveat,228,3,3,3,0
N11,gemini-3.5-flash,15596,top,full,581,3,3,3,0
N12,gpt-oss-120b,401113,qcd,full,282,3,3,2,1
N13,gpt-oss-120b,255805,qcd,caveat,285,3,3,2,1
N14,gpt-oss-120b,30917,top,full,313,3,3,3,0
N15,gemini-3.5-flash,208697,qcd,full,452,3,3,3,0
N16,gemini-3.5-flash-lite,22279,qcd,full,464,2,3,2,2
N17,gemini-3.5-flash-lite,270395,qcd,full,383,2,3,3,1
N18,deepseek-v4-flash,105104,qcd,full,233,2,3,3,1
N19,gemini-3.5-flash,279752,top,full,640,3,3,3,0
N20,gemini-3.5-flash,206470,top,caveat,376,3,3,3,0
